092921d - DNP_center2 @ 1031 RW.tiff	092921d
C093020-WT-113105_Center 2 @ 0937 AM-CO RW.tiff	C093020
090221c_Center6@1026 RK.tiff	090221c
2019.10.23%2932_OD_R_1_0_0000097_RegAvg%004.tiff	2932
2019.10.18%508_OD_R_1_0_0000037_RegAvg%003.tiff	508
2019.10.17%509_OS_R_1_0_0000022_RegAvg%004.tiff	509
2019.03.25%2801_OS_R_1_0_0000185_RegAvg%003.tiff	2801
2019.03.01%2737_OS_R_1_0_0000202_RegAvg%004.tiff	2737
2019.05.20%9465_OS_R_1_0_0000022%004.tiff	9465
072021b - GNAT_center 1@947 RK bab.tiff	072021b
102721e RW_Center2 @955.tiff	102721e
2019.10.17%510_OD_R_1_0_0000007_RegAvg%002.tiff	510
102921b_center2 @932.tiff	102921b
032521a baseline_Center1@827 CG CO bab.tiff	032521a
2019.03.14%wt5_OS_R_1_0_0000022_RegAvg%002.tiff	wt5
2019.05.21%9451_OS_R_1_0_0000069%9451_OS_R_1_0_0000069_Structure_0002.tiff	9451
061821a_Center1 @928 RK.tiff	061821a
100620a_Center #2 BAB RK.tiff	100620a
091421f vehicle RW_center2@1127.tiff	091421f
2019.05.20%9450_OD_R_1_0_0000007%004.tiff	9450
2019.06.01%9450_OD_R_1_0_0000223%9450_OD_R_1_0_0000223_Structure_0003.tiff	9450
2019.05.29%9452_OD_R_1_0_0000133%9452_OD_R_1_0_0000133_Structure_0001.tiff	9452
2019.05.21%9451_OD_R_1_0_0000049%9451_OD_R_1_0_0000049_Structure_0002.tiff	9451
101421c_center2 @945 RK.tiff	101421c
110220e_Center OS #1 -RW RK.tiff	110220e
2019.08.15%2942_OS_R_1_0_0000052_RegAvg%003.tiff	2942
082521b -female.saline_center 1 @1012 RK.tiff	082521b
2019.03.08%black_OD_R_1_0_0000115_RegAvg%001.tiff	black
2019.05.30%9451_OD_R_1_0_0000168%9451_OD_R_1_0_0000168_Structure_0001.tiff	9451
2019.04.06%wt3_OD_R_1_0_0000079%wt3_OD_R_1_0_0000079_Structure_0004.tiff	wt3
2019.05.31%9465_OD_R_1_0_0000199%9465_OD_R_1_0_0000199_Structure_0003.tiff	9465
052121c baseline_Center 2@1005 RK bab.tiff	052121c
121720e-KO-116158_center 2@1100 BAB RW.tiff	121720e
2019.10.23%2933_OS_R_1_0_0000112_RegAvg%002.tiff	2933
2019.03.20%2801_OD_R_1_0_0000006%003.tiff	2801
2019.03.01%2739_OS_R_1_0_0000207_RegAvg%004.tiff	2739
2019.10.22%508_OS_R_1_0_0000082_RegAvg%004.tiff	508
2019.08.19%2939NOYAG_OD_R_1_0_0000097_RegAvg%002.tiff	2939NOYAG
082721d f dnp_Center2@1112 RK use for HB.tiff	082721d
092221d - DNP_center2 @1045 RW.tiff	092221d
121020e-WT-115212_center 1@1124 RK RW.tiff	121020e
2019.05.29%2783_OD_R_1_0_0000007%2783_OD_R_1_0_0000007_Structure_0004.tiff	2783
100421a_Center2@904 RK.tiff	100421a
2019.03.04%black_OD_R_1_0_0000007_RegAvg%003.tiff	black
2019.05.30%9450_OD_R_1_0_0000163%9450_OD_R_1_0_0000163_Structure_0002.tiff	9450
080421d_center2 @1042 bab.tiff	080421d
100921b male_Center1@1110 bab.tiff	100921b
072021a - GNAT_center 2@929 RK bab.tiff	072021a
2019.06.01%9451_OS_R_1_0_0000243%9451_OS_R_1_0_0000243_Structure_0001.tiff	9451
2019.03.05%black_OS_R_1_0_0000058_RegAvg%004.tiff	black
2019.02.22%2742_OD_R_1_0_0000043_RegAvg%001.tiff	2742
121620d-WT_center 3@1044 BAB RW.tiff	121620d
2019.02.25%2740_OD_R_1_0_0000079_RegAvg%002.tiff	2740
032421b-saline_center 3@916 RW RW.tiff	032421b
2019.08.14%2939_OS_R_1_0_0000022_RegAvg%003.tiff	2939
2019.05.21%9465_OS_R_1_0_0000069%9465_OS_R_1_0_0000069_Structure_0001.tiff	9465
060921b_Center 2@901 RW.tiff	060921b
100620c post_Center #1 BAB RK.tiff	100620c
2019.03.26%2800_OS_R_1_0_0000212_RegAvg%004.tiff	2800
2019.03.05%2731_OS_R_1_0_0000058_RegAvg%004.tiff	2731
051821d saline_Center 2 @ 1009 RW.tiff	051821d
2019.03.14%wt3_OD_R_1_0_0000007_RegAvg%004.tiff	wt3
2019.02.26%2740_OD_R_1_0_0000115_RegAvg%003.tiff	2740
100421b_Center2@922 RK.tiff	100421b
2019.05.21%9465_OD_R_1_0_0000049%9465_OD_R_1_0_0000049_Structure_0001.tiff	9465
2019.03.01%2737_OD_R_1_0_0000187_RegAvg%001.tiff	2737
2019.03.04%2731_OS_R_1_0_0000022_RegAvg%004.tiff	2731
2019.02.28%2740_OS_R_1_0_0000166_RegAvg%002.tiff	2740
062321b - B6J control_center2 @ 939 RW.tiff	062321b
073021b Sildenafil_Center1@902 RW.tiff	073021b
102121e_center 1 @1131 RK.tiff	102121e
060121b_center @1003 RW bab.tiff	060121b
032521a baseline_Center4@839 RK.tiff	032521a
PBS-Dark_2942_OS_R_1_0_0000082_RegAvg CG.tiff	2942
121620b-WT_center 1@911 BAB RW.tiff	121620b
2019.03.18%wt5_OS_R_1_0_0000058_RegAvg%004.tiff	wt5
090121e DNP_Center2@958.tiff	090121e
120920c-WT-115203  MM_center 1 @ 954 RK RW.tiff	120920c
080421d_center1 @1040 RW bab.tiff	080421d
2019.05.22%9450_OD_R_1_0_0000091%9450_OD_R_1_0_0000091_Structure_0004.tiff	9450
2019.05.22%9451_OD_R_1_0_0000096%9451_OD_R_1_0_0000096_Structure_0002.tiff	9451
2019.03.21%2802_OD_R_1_0_0000066%2802_OD_R_1_0_0000066_Structure_0001.tiff	2802
2019.10.22%508_OD_R_1_0_0000067_RegAvg%003.tiff	508
032521b baseline_Center2@917 RK.tiff	032521b
042321b_Center 2 @917 RK.tiff	042321b
2019.05.21%9450_OS_R_1_0_0000064%9450_OS_R_1_0_0000064_Structure_0001.tiff	9450
112420 - Usher - #10_center 2 @1120 CG bad HB RK.tiff	112420
2019.03.20%2800_OS_R_1_0_0000034%003.tiff	2800
2019.06.01%9450_OS_R_1_0_0000238%9450_OS_R_1_0_0000238_Structure_0002.tiff	9450
2019.08.15%2941_OD_R_1_0_0000037_RegAvg%001.tiff	2941
082721d f dnp_Center1@1109 RK use for HB.tiff	082721d
042021a_center2 @830 RK.tiff	042021a
032821b baseline_Center3@919 RK.tiff	032821b
071221b_Center2 @1047 RK.tiff	071221b
2019.08.14%2943_OD_R_1_0_0000007_RegAvg%001.tiff	2943
2019.04.07%wt4_OD_R_1_0_0000109%004.tiff	wt4
2019.08.16%2943_OS_R_1_0_0000082_RegAvg%003.tiff	2943
2019.06.01%2789_OS_R_1_0_0000112%2789_OS_R_1_0_0000112_Structure_0001.tiff	2789
2019.02.21%2741_OD_R_1_0_0000007_RegAvg%003.tiff	2741
082421b - female DNP died after 1st image_center1 @1018 RW.tiff	082421b
2019.05.22%9450_OS_R_1_0_0000106%9450_OS_R_1_0_0000106_Structure_0004.tiff	9450
051921d (S)_Center 1@1008 RK.tiff	051921d
2019.10.17%2933_OS_R_1_0_0000022_RegAvg%001.tiff	2933
2019.03.01%2741_OD_R_1_0_0000192_RegAvg%003.tiff	2741
2019.03.21%2801_OS_R_1_0_0000090%2801_OS_R_1_0_0000090_Structure_0002.tiff	2801
061621e_center 2@1134 RW.tiff	061621e
2019.08.19%2943_OD_R_1_0_0000097_RegAvg%001.tiff	2943
2019.10.23%508_OD_R_1_0_0000097_RegAvg%003.tiff	508
2019.05.21%9463_OD_R_1_0_0000049%9463_OD_R_1_0_0000049_Structure_0001.tiff	9463
2019.03.01%2738_OD_R_1_0_0000217_RegAvg%004.tiff	2738
2019.05.30%9450_OS_R_1_0_0000178%9450_OS_R_1_0_0000178_Structure_0003.tiff	9450
2019.03.25%2800_OS_R_1_0_0000176_RegAvg%002.tiff	2800
101421e_center1 @1027 RK.tiff	101421e
2019.10.18%2933_OD_R_1_0_0000037_RegAvg%003.tiff	2933
080421a_center2 @ 955 RW.tiff	080421a
072821c -sildenafil_Center1@855 RW.tiff	072821c
2019.02.21%2738_OD_R_1_0_0000007_RegAvg%002.tiff	2738
2019.05.22%9465_OD_R_1_0_0000096%9465_OD_R_1_0_0000096_Structure_0001.tiff	9465
2019.08.16%2940_OD_R_1_0_0000067_RegAvg%003.tiff	2940
073021a Sildenafil_Center2@843 RW.tiff	073021a
020321a_center 1@836 CG RK.tiff	020321a
2019.05.31%2789_OD_R_1_0_0000067%2789_OD_R_1_0_0000067_Structure_0003.tiff	2789
021721e-WT-male_center 2@1031 RK bad hb dont use RK.tiff	021721e
051921a (TGN)_Center 2@829 RK.tiff	051921a
101421b_center2 @916 bab.tiff	101421b
101221a - female_center2 @925 bab bad HB.tiff	101221a
081821b -Female_center 2 @ 958 RW.tiff	081821b
042321b_Center 1 @913 RK.tiff	042321b
042021a_center1 @824 RK.tiff	042021a
102121b_center 1 @958 RW.tiff	102121b
2019.03.08%Rightearcut_OD_R_1_0_0000115_RegAvg%003.tiff	Rightearcut
2019.04.05%2735_OS_R_1_0_0000086_RegAvg%001.tiff	2735
052721a_Center1 @917 RK.tiff	052721a
2019.06.01%2788_OD_R_1_0_0000097%2788_OD_R_1_0_0000097_Structure_0003.tiff	2788
2019.03.05%Rightearcut_OD_R_1_0_0000043_RegAvg%003.tiff	Rightearcut
083121b_Center2@936 RK.tiff	083121b
2019.05.29%9463_OS_R_1_0_0000148%9463_OS_R_1_0_0000148_Structure_0001.tiff	9463
2019.05.29%2785_OD_R_1_0_0000007%2785_OD_R_1_0_0000007_Structure_0004.tiff	2785
080421e_center1 @ 1059 bab.tiff	080421e
A090920_Center#2 @ 0909 am CG RK.tiff	A090920
2019.08.15%2941_OS_R_1_0_0000052_RegAvg%004.tiff	2941
042021e_center1 @1128 RK bab.tiff	042021e
083121a_center2 @906 RK.tiff	083121a
2019.05.30%2789_OD_R_1_0_0000037%2789_OD_R_1_0_0000037_Structure_0003.tiff	2789
072021d - GNAT redo_center 2@1040 RK.tiff	072021d
072121a - GNAT_center 1@853 RW.tiff	072121a
2019.03.08%2704_OD_R_1_0_0000115_RegAvg%003.tiff	2704
2019.08.19%2939NOYAG_OS_R_1_0_0000112_RegAvg%001.tiff	2939NOYAG
100621e_center1 @1019 RK.tiff	100621e
060921d_Center 3@1004 RW.tiff	060921d
063021a DMSO_center2 @ 1101 RW.tiff	063021a
112420 - Usher - #10_center 1 @1117 CG bad HB RK.tiff	112420
2019.02.28%2740_OD_R_1_0_0000151_RegAvg%002.tiff	2740
2019.10.18%510_OD_R_1_0_0000037_RegAvg%004.tiff	510
2019.03.14%wt4_OD_R_1_0_0000007_RegAvg%003.tiff	wt4
2019.05.29%9465_OS_R_1_0_0000154%9465_OS_R_1_0_0000154_Structure_0004.tiff	9465
2019.03.25%2801_OD_R_1_0_0000170_RegAvg%002.tiff	2801
080321e_center 1 @ 1058 RW bab.tiff	080321e
011321d_center1 @1034 -RW RK.tiff	011321d
040721a-WT-female_center 1@925 RW.tiff	040721a
092821b - Saline_center2 @946 RK.tiff	092821b
2019.05.20%9452_OD_R_1_0_0000007%002.tiff	9452
2019.05.31%2783_OD_R_1_0_0000067%2783_OD_R_1_0_0000067_Structure_0003.tiff	2783
081821e -Male_center 3 @ 1137 RW.tiff	081821e
2019.03.07%Rightearcut_OS_R_1_0_0000094_RegAvg%003.tiff	Rightearcut
A100120-WT-113087_Center 2 @ 0840 AM RK RW.tiff	A100120
2019.10.17%508_OS_R_1_0_0000022_RegAvg%001.tiff	508
032521b baseline_Center1@915 RK.tiff	032521b
2019.10.23%2933_OD_R_1_0_0000097_RegAvg%001.tiff	2933
2019.02.28%2739_OS_R_1_0_0000171_RegAvg%004.tiff	2739
2019.02.25%2740_OS_R_1_0_0000094_RegAvg%004.tiff	2740
2019.02.26%2741_OS_R_1_0_0000135_RegAvg%001.tiff	2741
081321e sildenafil_Center1@1121 RW.tiff	081321e
2019.04.07%wt3_OS_R_1_0_0000124%002.tiff	wt3
092721b Saline_Center2@1023 RK.tiff	092721b
062521b_Center1 @1000 RK.tiff	062521b
072821e -sildenafil_Center2@934 RW.tiff	072821e
2019.08.15%2939NOYAG_OS_R_1_0_0000052_RegAvg%003.tiff	2939NOYAG
081021a - SIL_center2 @ 930 RW.tiff	081021a
2019.03.18%wt2_OD_R_1_0_0000043_RegAvg%002.tiff	wt2
2019.08.16%2941_OS_R_1_0_0000082_RegAvg%001.tiff	2941
2019.05.31%9450_OD_R_1_0_0000193%9450_OD_R_1_0_0000193_Structure_0003.tiff	9450
2019.08.14%2941_OD_R_1_0_0000007_RegAvg%003.tiff	2941
D100820 - WT #112474_center 1 @ 1025 CG RK.tiff	D100820
092221e - Saline_center2 @1117 RW.tiff	092221e
2019.04.04%2734_OD_R_1_0_0000113_RegAvg%001.tiff	2734
101221a - female_center1 @920 bab.tiff	101221a
2019.05.30%2783_OD_R_1_0_0000037%2783_OD_R_1_0_0000037_Structure_0003.tiff	2783
081321c sildenafil_Center2@1046 RW.tiff	081321c
021021a -5xFAD male_center2 @844 RK RK.tiff	021021a
062521b_Center2 @1001 RK.tiff	062521b
2019.02.22%2740_OS_R_1_0_0000058_RegAvg%002.tiff	2740
2019.02.26%2738_OS_R_1_0_0000130_RegAvg%003.tiff	2738
2019.05.30%9465_OD_R_1_0_0000169%9465_OD_R_1_0_0000169_Structure_0002.tiff	9465
2019.08.15%2943_OD_R_1_0_0000037_RegAvg%003.tiff	2943
070821c - FCCP_center 1@1103 RW.tiff	070821c
051121d_center 1@1022 RK.tiff	051121d
092420c_Center #2 BAB RK.tiff	092420c
2019.04.07%wt4_OS_R_1_0_0000124%003.tiff	wt4
060721a_center 2@932 RK.tiff	060721a
2019.05.20%9463_OD_R_1_0_0000007%004.tiff	9463
082421a - male DNP_center1 @947 RW.tiff	082421a
2019.10.18%510_OS_R_1_0_0000052_RegAvg%001.tiff	510
072821a-saline_Center2@838 RK.tiff	072821a
Light_2940_OS_R_1_0_0000022_RegAvg BAB RW.tiff	2940
2019.03.04%2730_OS_R_1_0_0000022_RegAvg%001.tiff	2730
2019.03.18%wt1_OS_R_1_0_0000058_RegAvg%004.tiff	wt1
060821c saline_center1@1025 RK.tiff	060821c
033021b DNP_Center 3@923 CG bab.tiff	033021b
A102120 -5xFAD female - #971 no remanant and deep ONH dont use_center 2@ 815.tiff	A102120
072821c -sildenafil_Center2@857 RW.tiff	072821c
011221a_center2 @843 BAB RK.tiff	011221a
2019.03.05%2730_OS_R_1_0_0000058_RegAvg%001.tiff	2730
2019.08.16%2942_OD_R_1_0_0000067_RegAvg%001.tiff	2942
051121e_center 1@1112 RK bab.tiff	051121e
2019.03.14%wt2_OD_R_1_0_0000007_RegAvg%001.tiff	wt2
2019.03.08%2731_OD_R_1_0_0000115_RegAvg%001.tiff	2731
2019.03.26%2802_OS_R_1_0_0000213_RegAvg%001.tiff	2802
073021a Sildenafil_Center1@841 RW.tiff	073021a
062221d - B6J control_center 2 @ 1041 RW.tiff	062221d
2019.10.18%509_OS_R_1_0_0000052_RegAvg%003.tiff	509
2019.05.30%2785_OS_R_1_0_0000052%2785_OS_R_1_0_0000052_Structure_0003.tiff	2785
102921e_center2 @1040 bab.tiff	102921e
2019.05.29%2784_OD_R_1_0_0000007%2784_OD_R_1_0_0000007_Structure_0002.tiff	2784
2019.06.01%9465_OD_R_1_0_0000229%9465_OD_R_1_0_0000229_Structure_0003.tiff	9465
2019.08.19%2941_OD_R_1_0_0000097_RegAvg%003.tiff	2941
072921e_Center2@1000 RK.tiff	072921e
092520a_Center OS Attempt #1 BAB RK.tiff	092520a
082521c -male.saline_center 1 @1045 RK.tiff	082521c
2019.10.22%509_OS_R_1_0_0000082_RegAvg%001.tiff	509
052121b_Center2 @903 RK.tiff	052121b
2019.03.20%2804_OD_R_1_0_0000006%004.tiff	2804
011221e_center1 @1117 BAB RK.tiff	011221e
072921b_Center2@854 RK.tiff	072921b
2019.03.07%2731_OS_R_1_0_0000094_RegAvg%002.tiff	2731
061721a_Center2 @934.tiff	061721a
2019.03.26%2803_OD_R_1_0_0000180_RegAvg%001.tiff	2803
2019.10.22%510_OS_R_1_0_0000082_RegAvg%003.tiff	510
2019.05.31%9452_OS_R_1_0_0000208%9452_OS_R_1_0_0000208_Structure_0001.tiff	9452
2019.06.01%2783_OS_R_1_0_0000112%2783_OS_R_1_0_0000112_Structure_0001.tiff	2783
061021c_Center1 @934 RK.tiff	061021c
A091020_Center#1 @ 0857 am -RW RK.tiff	A091020
2019.03.07%bothcut_OS_R_1_0_0000094_RegAvg%003.tiff	bothcut
2019.02.28%2739_OD_R_1_0_0000156_RegAvg%002.tiff	2739
081721a -Female_center 2 @ 1014 bab RW.tiff	081721a
061621e_center 1@1129 RW.tiff	061621e
2019.10.17%2932_OS_R_1_0_0000022_RegAvg%004.tiff	2932
2019.03.26%2804_OD_R_1_0_0000192_RegAvg%002.tiff	2804
091821c DNP MM_Center 2@845 MM.tiff	091821c
2019.05.30%2785_OD_R_1_0_0000037%2785_OD_R_1_0_0000037_Structure_0003.tiff	2785
062421b_Center2 @1003 RK.tiff	062421b
2019.02.21%2740_OS_R_1_0_0000022_RegAvg%002.tiff	2740
2129 light_2129_OD_V_2x0_90_0000016 RK.tiff	2129
2019.05.21%9450_OD_R_1_0_0000049%9450_OD_R_1_0_0000049_Structure_0004.tiff	9450
2019.02.22%2737_OD_R_1_0_0000043_RegAvg%001.tiff	2737
2019.05.29%2789_OD_R_1_0_0000007%2789_OD_R_1_0_0000007_Structure_0004.tiff	2789
081721d -Male_center 3 @ 1135 bab RW.tiff	081721d
2019.04.04%2735_OS_R_1_0_0000056_RegAvg%004.tiff	2735
2019.06.01%9465_OS_R_1_0_0000244%9465_OS_R_1_0_0000244_Structure_0002.tiff	9465
2019.08.15%2940_OD_R_1_0_0000037_RegAvg%004.tiff	2940
2019.08.19%2943_OS_R_1_0_0000112_RegAvg%002.tiff	2943
032521c baseline_Center3@1006 RK bab.tiff	032521c
102021f -SIL_center1 @1128 MM.tiff	102021f
2019.04.07%wt1_OD_R_1_0_0000109%003.tiff	wt1
042021e_center3 @1140 RK.tiff	042021e
2019.08.14%2942_OD_R_1_0_0000007_RegAvg%004.tiff	2942
2019.03.01%2742_OD_R_1_0_0000187_RegAvg%001.tiff	2742
081921d_center 2 @1051 RW.tiff	081921d
2019.04.06%wt2_OD_R_1_0_0000079%wt2_OD_R_1_0_0000079_Structure_0004.tiff	wt2
2019.06.01%2784_OD_R_1_0_0000097%2784_OD_R_1_0_0000097_Structure_0003.tiff	2784
2019.03.21%2802_OS_R_1_0_0000094%2802_OS_R_1_0_0000094_Structure_0004.tiff	2802
020221a_center3 @845 BAB RK.tiff	020221a
2127 dark_2127_OS_V_2x0_90_0000069 bab.tiff	2127
042021c_center2 @1010 RK.tiff	042021c
102921b_center1 @930 bab.tiff	102921b
051921c (TGN)_Center 1@932 RK bab.tiff	051921c
090121a DNP_Center2@839 RK.tiff	090121a
2019.05.29%9450_OS_R_1_0_0000148%9450_OS_R_1_0_0000148_Structure_0004.tiff	9450
2019.03.18%wt4_OS_R_1_0_0000058_RegAvg%001.tiff	wt4
2019.08.16%2939NOYAG_OS_R_1_0_0000082_RegAvg%001.tiff	2939NOYAG
2019.02.26%2739_OD_R_1_0_0000120_RegAvg%003.tiff	2739
2019.04.05%2735_OD_R_1_0_0000071_RegAvg%002.tiff	2735
2019.05.31%2785_OD_R_1_0_0000067%2785_OD_R_1_0_0000067_Structure_0003.tiff	2785
2019.03.25%2804_OS_R_1_0_0000170_RegAvg%004.tiff	2804
082021d_center 1 @1104 RW.tiff	082021d
2019.10.22%2932_OS_R_1_0_0000082_RegAvg%002.tiff	2932
080421e_center2 @ 1101 bab bab.tiff	080421e
061821d_Center2 @1104 RK.tiff	061821d
2019.04.07%wt2_OS_R_1_0_0000124%001.tiff	wt2
2019.10.18%2934_OD_R_1_0_0000037_RegAvg%004.tiff	2934
102221a RW_center 2 @849.tiff	102221a
2019.10.22%510_OD_R_1_0_0000067_RegAvg%004.tiff	510
2019.10.18%2932_OS_R_1_0_0000052_RegAvg%003.tiff	2932
2019.05.22%9465_OS_R_1_0_0000111%9465_OS_R_1_0_0000111_Structure_0001.tiff	9465
081821a -Male_center 1 @ 930 RW bab.tiff	081821a
042821b-WT-male_center1 @1129 RK.tiff	042821b
060121d_center @1103 RW off scale.tiff	060121d
042121a_center 2@0832 bab RK.tiff	042121a
2019.03.04%Rightearcut_OS_R_1_0_0000022_RegAvg%001.tiff	Rightearcut
2019.06.01%2785_OS_R_1_0_0000112%2785_OS_R_1_0_0000112_Structure_0001.tiff	2785
2019.10.17%2934_OD_R_1_0_0000007_RegAvg%002.tiff	2934
061721c_Center2 @1033.tiff	061721c
061621a_center 2@930 RW.tiff	061621a
100620c post_Center #2 -RW RK.tiff	100620c
101921a_Center2@924 RK.tiff	101921a
2019.03.01%2742_OS_R_1_0_0000202_RegAvg%004.tiff	2742
2019.04.04%2734_OS_R_1_0_0000128_RegAvg%004.tiff	2734
2019.08.15%2940_OS_R_1_0_0000052_RegAvg%001.tiff	2940
2019.05.22%9463_OD_R_1_0_0000091%9463_OD_R_1_0_0000091_Structure_0001.tiff	9463
2019.03.04%2704_OD_R_1_0_0000007_RegAvg%002.tiff	2704
111820b - Usher - #2_center 2 @ RK RK.tiff	111820b
2019.03.08%bothcut_OD_R_1_0_0000115_RegAvg%002.tiff	bothcut
060121c_center @1035 RW off scale.tiff	060121c
2019.03.18%wt2_OS_R_1_0_0000058_RegAvg%003.tiff	wt2
2019.10.23%510_OD_R_1_0_0000097_RegAvg%004.tiff	510
2019.02.26%2742_OD_R_1_0_0000115_RegAvg%001.tiff	2742
2019.03.21%2803_OS_R_1_0_0000082%2803_OS_R_1_0_0000082_Structure_0002.tiff	2803
2019.05.30%2783_OS_R_1_0_0000052%2783_OS_R_1_0_0000052_Structure_0003.tiff	2783
2019.03.14%wt1_OS_R_1_0_0000022_RegAvg%002.tiff	wt1
033021e Saline_Center 1@1130 RK bab.tiff	033021e
052121e baseline_Center 2@1106 RK.tiff	052121e
2019.05.21%9463_OS_R_1_0_0000064%9463_OS_R_1_0_0000064_Structure_0004.tiff	9463
2019.02.25%2741_OS_R_1_0_0000099_RegAvg%003.tiff	2741
102621e RW_center2 @1055.tiff	102621e
2019.02.21%2739_OS_R_1_0_0000022_RegAvg%003.tiff	2739
2019.02.22%2740_OD_R_1_0_0000043_RegAvg%003.tiff	2740
2019.08.19%2942_OD_R_1_0_0000097_RegAvg%004.tiff	2942
042421c DNP_Center 1 @ 956RK.tiff	042421c
2019.05.22%9463_OS_R_1_0_0000106%9463_OS_R_1_0_0000106_Structure_0001.tiff	9463
2019.10.18%2934_OS_R_1_0_0000052_RegAvg%001.tiff	2934
100421b_Center1@920 RK.tiff	100421b
2019.05.22%9451_OS_R_1_0_0000111%9451_OS_R_1_0_0000111_Structure_0002.tiff	9451
2019.03.25%2803_OS_R_1_0_0000159_RegAvg%001.tiff	2803
2019.04.06%wt2_OS_R_1_0_0000094%wt2_OS_R_1_0_0000094_Structure_0002.tiff	wt2
110220e_Center OS #2 BAB RK.tiff	110220e
2019.02.21%2737_OD_R_1_0_0000007_RegAvg%004.tiff	2737
2019.02.25%2742_OD_R_1_0_0000079_RegAvg%001.tiff	2742
2019.02.25%2741_OS_R_1_0_0000099_RegAvg%002.tiff	2741
2019.02.21%2737_OS_R_1_0_0000022_RegAvg%001.tiff	2737
110320d_Center OS #2 BAB RK.tiff	110320d
082721b m dnp_Center2@1015 RK use for HB.tiff	082721b
2019.02.21%2739_OS_R_1_0_0000022_RegAvg%002.tiff	2739
2019.10.22%2934_OS_R_1_0_0000082_RegAvg%001.tiff	2934
2019.02.22%2740_OD_R_1_0_0000043_RegAvg%002.tiff	2740
2019.05.22%9451_OS_R_1_0_0000111%9451_OS_R_1_0_0000111_Structure_0003.tiff	9451
2019.04.06%wt2_OS_R_1_0_0000094%wt2_OS_R_1_0_0000094_Structure_0003.tiff	wt2
072821d -saline_Center2@917 RW.tiff	072821d
032921d 16mpk_Center3@1053 CG bab.tiff	032921d
2019.02.22%2739_OS_R_1_0_0000063_RegAvg%004.tiff	2739
2019.03.08%bothcut_OD_R_1_0_0000115_RegAvg%003.tiff	bothcut
082421a - male DNP_center2 @952 RW.tiff	082421a
2019.03.18%wt2_OS_R_1_0_0000058_RegAvg%002.tiff	wt2
102121c_center 1 @1031 RK.tiff	102121c
102721b RW_Center2@915.tiff	102721b
2019.05.31%2784_OS_R_1_0_0000082%2784_OS_R_1_0_0000082_Structure_0001.tiff	2784
2019.03.21%2800_OD_R_1_0_0000062%004.tiff	2800
2019.03.21%2803_OS_R_1_0_0000082%2803_OS_R_1_0_0000082_Structure_0003.tiff	2803
2019.05.30%2783_OS_R_1_0_0000052%2783_OS_R_1_0_0000052_Structure_0002.tiff	2783
2019.03.14%wt1_OS_R_1_0_0000022_RegAvg%003.tiff	wt1
2019.02.26%2742_OS_R_1_0_0000130_RegAvg%004.tiff	2742
2019.05.31%9450_OS_R_1_0_0000208%9450_OS_R_1_0_0000208_Structure_0004.tiff	9450
2019.05.29%9463_OD_R_1_0_0000133%9463_OD_R_1_0_0000133_Structure_0001.tiff	9463
052121b baseline_Center 2@933 RK.tiff	052121b
2019.03.21%2800_OS_R_1_0_0000090%001.tiff	2800
021721b-5xFAD-female_center 2@924 RK RK.tiff	021721b
051121e_center 2@1115 RK.tiff	051121e
033021a baseline saline_Center 1@833 RK bab.tiff	033021a
2019.03.04%2704_OD_R_1_0_0000007_RegAvg%003.tiff	2704
